frame,caption
001.jpg,A beautiful sunset over a city. The sky is orange and pink. There are a couple of giant letters that spell out the name of the city. There is a large body of water in front of the buildings.
002.jpg,A man and a woman are standing in front of a news desk. The desk is white and has a red logo on it. The man is wearing a white shirt and an orange tie. The woman is standing behind him wearing a brown shirt. There is a large screen behind them. There are buildings on the screen. 
003.jpg,There is a man and a woman standing in front of a large screen. They are both dressed in business attire. The man is wearing a white shirt and a pink tie. The woman is also wearing a blouse and black pants. The screen behind them has a city scene on it. There are clouds in the sky. There is a red and white logo on the screen.
004.jpg,A man and a woman are standing behind a white table. The man is wearing a white shirt and a yellow tie. The woman is standing behind him wearing a brown and white shirt. There is a large screen behind them.
005.jpg,On the left side of the image there is a solid black background. On the right side the image is red and black. The red part has small white dots on it. The dots are arranged in a grid pattern. The white dots are evenly spaced. There is a red line going across the image.
006.jpg,"The image is a graphic. The background is white with red diagonal stripes. The stripes are made up of small dots. In the center of the background is a big red and silver symbol. The silver symbol is in the shape of the letter ""S"". The letters are outlined in black. There is a watermark in the top right corner that reads ""HTV9 HD 06:30:26""."
007.jpg,A woman in a black shirt and black pants is kneeling down on a white tiled floor. There is a white bottle on the floor in front of her. The woman is holding a piece of paper in her hand. 
008.jpg,A bunch of people are riding motorcycles. They all have their headlights on. They are all wearing helmets and some of them are wearing face masks. The sky is dark and it looks like it is night time.
009.jpg,People are sitting in a room. There is a blue wall behind them with a yellow emblem on it. There are two men standing in front of them. They are wearing suits. 
010.jpg,The image is an abstract background. The background is red and white. On the left side of the image there is a big red rectangle. On that there are two big red stripes. The right side is white. There are dots on the red rectangle that are outlined in white. The dots are small and evenly spaced.
011.jpg,A man is standing in front of a cityscape. He is wearing a long sleeve shirt and a tie. The man is holding a red object in his hands. The sky behind the man is orange and yellow. There are tall buildings in the background of the city. 
012.jpg,A man is standing in front of a cityscape. He is wearing a white shirt and a tie. The man is holding a red object in his hands. There are tall buildings and skyscrapers in the background. There is a yellow sky above the buildings.
013.jpg,A man is standing in front of a picture of a city. He is wearing a blue shirt and a tie. The man is holding a red object in his hands. There are tall buildings behind the man. 
014.jpg,There are people sitting in a room. They are all wearing face masks. There is a brown wall behind them. There are balconies on the walls. 
015.jpg,There are people sitting in a room. They are all wearing face masks. There are blankets on the floor in front of them. There is a brown wall behind them. 
016.jpg,There is a large white boat in the water. There are trees on the other side of the boat. There is a man in a gray shirt and black pants standing on the street. 
017.jpg,There is a white van parked in front of a white building. There is a large white building behind the van. 
018.jpg,The image is a screenshot from a video. It appears to be a storm. There is a large crack in the wall. The crack is white and gray. The wall is made up of metal slats. The image has been taken at 6:31:28. The time on the top right corner of the screen says that the video was recorded at 06:31.
019.jpg,A woman is sitting in front of a white bath tub. She is wearing a black shirt. There is a white tiled wall behind the tub. The woman is holding a green and yellow object in her hands. 
020.jpg,A computer monitor is turned on. There is a picture of a woman on the screen. The woman has blonde hair. There are red wires on the side of the monitor. 
021.jpg,A computer monitor is turned on. There is a picture of a window on the screen. The window is blue in color. There are white buttons on the top of the monitor. 
022.jpg,A woman is smiling and looking at the camera. She has short black hair. The background is very blurry. At the bottom of the screen there is a red banner.
023.jpg,There is a white car parked on the side of the street. There is a large crack on the ground in front of the car. There are white lines painted on the street next to the white car.
024.jpg,A picture of a sidewalk in the rain. There is a car parked on the sidewalk next to a building. The ground is wet and there is a man hole on the ground. 
025.jpg,There is a white table in a room. There are clothes and other items on top of the table. There is a shelf behind the table in front of a white wall. 
026.jpg,A woman is standing in front of a city skyline. She is wearing a patterned shirt and holding a red phone in her hands. The sky is orange and cloudy. There are tall buildings behind the woman. 
027.jpg,There are several people standing in front of a building. There is a large sign above the entrance of the building. The sign is black and has white writing on it. There are several trees behind the sign. 
028.jpg,A woman is sitting behind a glass. There is a blue sign in front of her with a number on it. There are cabinets behind her. 
029.jpg,There are people sitting in a room. They are all wearing white face masks. There is a white box on the wall next to them. 
030.jpg,There are three women sitting at a desk. There is a computer monitor in front of them. The woman in front is wearing a red polka dot shirt. 
031.jpg,There are several people sitting around a white table. There is a woman in a red shirt sitting in an orange chair. There are people standing in front of them wearing face masks. 
032.jpg,This is a picture of an office. There is a large blue sign hanging from the ceiling. There are large brown cabinets in front of the desk. The desk has many computer monitors on top of it. A man in a white shirt is sitting on a orange chair. 
033.jpg,There are several people sitting at a table. There is a man in a white shirt writing on a piece of paper. Next to him is a woman in a green shirt. 
034.jpg,A man is wearing glasses. He is wearing a light blue shirt. The man has dark colored hair. There is a white wall behind the man. 
035.jpg,There are people sitting outside of a blue building. There is a large tree in front of the building with green leaves on it. There are blue chairs around tables with people sitting in them. 
036.jpg,There are people sitting around a table. There is a man in a blue shirt writing on a piece of paper. There are people behind him sitting on blue chairs. There trees behind them. 
037.jpg,A man and a woman are sitting at a table. The woman is wearing a green shirt and glasses. She is holding papers in her hands. There is a large tree behind them. A large white sign is standing in front of the tree. 
038.jpg,People are sitting outside of a building. They are all wearing face masks. There are tables with blue chairs around them. A large blue sign is hanging from the front of the building. There is a large tree next to the people. 
039.jpg,A woman in a black dress is standing behind a wooden desk. There is a white sign on the desk in front of the woman. A woman is behind the desk wearing a white shirt and a face mask. 
040.jpg,A man is wearing a blue shirt. He is writing on a piece of paper. There is a blue ladder behind the man. 
041.jpg,There are several people sitting at desks. There is a man in a black shirt leaning over a desk. There are plants in a red pot on top of the desk. 
042.jpg,There are people sitting at a desk. There is a man in a black shirt standing behind the desk. He is wearing glasses and looking at his phone. There are plants on the desk in front of him. 
043.jpg,Two hands are holding a green certificate. There are several papers on the table in front of the hands. There is a white telephone next to the papers. 
044.jpg,A woman is sitting at a desk in front of a computer. She is wearing a white shirt and earrings. There is a green basket on the desk next to the computer. There are papers and a white telephone on the table. 
045.jpg,There are people sitting at a desk. There is a woman wearing a white face mask on her face. There are papers and a computer on the desk in front of her.
046.jpg,There are people sitting around a desk. They are all wearing face masks. There are papers and a computer on top of the desk. 
047.jpg,There are several people sitting in blue chairs. There are large windows on the wall behind them. There is a white paper hanging on the front of the wall. 
048.jpg,A man and a woman are standing in front of a large screen. They are both holding red objects in their hands. The man is wearing a white shirt and a tie. The woman is wearing black pants and a patterned shirt. There are large buildings on the screen behind them. There is a red and white logo on the bottom of the screen.
