frame,caption
001.jpg,A beautiful sunset over a city. The sky is orange and pink. There are many buildings in the city. There is a large body of water in front of the buildings. 
002.jpg,Two people are standing behind a white table. There is a large screen behind them with a city on it. The man is wearing a white shirt and a red tie. 
003.jpg,A man and a woman are standing behind a news desk. The desk is white and has a red logo on it. The man is wearing a white shirt and a red tie. The woman is standing behind the desk wearing a black and white dress. There is a large screen behind them.
004.jpg,"The image is a graphic. The background is red and white. There are dots on the left side of the image. There is a big red X in the middle. The X is silver in color. The lines on the image are red. The letters are black. There's a small logo in the top right corner that says ""HTV9"" in red letters. The time is 06:30:17."
005.jpg,A yellow sign is hanging on a building. There is a white awning under the sign. There are large windows on the building. 
006.jpg,There is a large tree in front of a large field. There is a wooden pole next to the tree. There are wires hanging from the pole. 
007.jpg,There is a picture of trees on the screen. The trees are dark green in color. There are small white bushes in front of the trees. 
008.jpg,A fire is raging. The fire is bright orange and yellow. There is a large cloud of smoke behind the fire. There are trees in front of the fire that are on fire. 
009.jpg,There is a group of people standing in front of a building. There is a large cloud of smoke coming out of the building. The sky is dark and blue. There are lights on the building next to the people.
010.jpg,A red and white graphic is shown. There is a large red diagonal stripe on the right side of the image. There are dots on the left side of an image. The dots are small and white.
011.jpg,"The image is a graphic design. The background is red and white. The design has dots on it. The dots are white. There are lines on the white and red background. The lines are diagonal. In the center of the design is the number 6. The numbers are red and silver. There is a small logo in the top right corner of the image that says ""HTTV"" in white letters. The date is 06:30:39."
012.jpg,Two people are standing behind a white table. There is a large screen behind them with a city on it. The man is wearing a white shirt and a red tie. 
013.jpg,A man and a woman are standing behind a white desk. The man is wearing a white shirt and a red tie. He is holding a red wallet in his hands. The woman is standing next to him wearing a black and white shirt. There is a large picture of buildings behind them. 
014.jpg,A man and a woman are standing in front of a news desk. The man is wearing a white shirt and a red tie. He is holding a red object in his hands. The woman is standing next to him wearing a black and white shirt. There are tall buildings behind them. There is a large orange sky above them.
015.jpg,There is a man and a woman standing in front of a white table. The man is wearing a white shirt and a red tie. There are tall buildings behind them. There is a cloudy sky above them.
016.jpg,There is a large yellow sign on the side of a building. The sign has red and pink writing on it. There is a white building behind the sign. There are windows on the building.
017.jpg,There are three people sitting around a table. There is a man in a uniform standing behind them. There are red chairs in front of them. 
018.jpg,A woman is sitting next to a man. The man is wearing a yellow helmet and a white face mask. There is a red and white sign in front of them.
019.jpg,A person is writing on a piece of paper. The paper is white and has black writing on it. The person is holding a blue and white pen. There is another paper on the table next to the paper. 
020.jpg,There is a large white sign hanging from the side of a building. There are people standing in front of the building. They are all wearing hats on their heads.
021.jpg,A woman in a blue shirt is sitting down. There is a man in a uniform sitting in front of her. He is wearing a yellow helmet and a face mask. 
022.jpg,A bus is parked on the street. There is a woman walking towards the bus. The woman is wearing a white hat on her head. There are motorcycles parked next to the bus on the sidewalk. 
023.jpg,A man is sitting inside of a bus. He is wearing a short sleeve shirt. There are seats in front of him and a large window on the side of the bus. There is a yellow helmet on his head. 
024.jpg,A yellow and red bus is on the street. There are people standing in front of the bus. They are all wearing helmets on their heads. 
025.jpg,There is a yellow and black bus on the street. There is a man sitting in the seat of the bus. There are two men standing next to the bus in front of them. One of the men is wearing a blue uniform and a blue hat. 
026.jpg,This is an image of a bus. The bus has red seats. There is a man in a white shirt sitting in a red seat. The man is wearing a white face mask. The mask is covering his mouth and nose. The uniform of the man is blue. The hat on the man's head is black. There are white vents on the ceiling of the bus.
027.jpg,A woman is wearing a blue and red collared shirt. She has brown hair and glasses on. There are boxes behind her that are stacked on top of each other. There is a blue chair in front of the boxes. 
028.jpg,A woman is wearing a blue and red collared shirt. She has brown hair and is wearing glasses. There are boxes behind her that are stacked on top of each other. There is a brick wall behind the woman.
029.jpg,Two men are standing in front of a white van. The man on the left is wearing a brown shirt and black pants. He is holding a black object in his hands. There is a man in a yellow uniform standing next to the man in the yellow uniform. He has a yellow helmet on his head. 
030.jpg,A red van is parked next to a yellow bus. There are people standing in front of the van. There is a man on a motorcycle next to the red van. 
031.jpg,A red van is driving down the street. There are people standing on the sidewalk next to the van. There is a man on a motorcycle in front of the red van. 
