n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,4.8,25.0,120
3,11.52,25.0,288
4,13.76,25.0,344
5,16.8,25.0,420
6,20.44,25.0,511
7,22.8,25.0,570
8,23.8,25.0,595
9,28.84,25.0,721
10,33.6,25.0,840
11,37.56,25.0,939
12,44.56,25.0,1114
13,47.92,25.0,1198
14,51.6,25.0,1290
15,57.64,25.0,1441
16,63.6,25.0,1590
17,68.4,25.0,1710
18,73.2,25.0,1830
19,76.24,25.0,1905
20,83.24,25.0,2081
21,87.6,25.0,2190
22,91.2,25.0,2280
23,97.2,25.0,2430
24,103.84,25.0,2596
25,106.08,25.0,2652
26,108.0,25.0,2700
27,113.52,25.0,2838
28,116.48,25.0,2912
29,120.0,25.0,3000
30,123.84,25.0,3096
31,126.0,25.0,3150
32,129.8,25.0,3245
33,132.36,25.0,3309
34,135.6,25.0,3390
35,138.8,25.0,3470
36,141.2,25.0,3529
37,142.52,25.0,3563
38,144.48,25.0,3611
39,149.24,25.0,3731
40,156.0,25.0,3900
41,162.96,25.0,4074
42,169.2,25.0,4230
43,174.4,25.0,4360
44,177.84,25.0,4446
45,178.8,25.0,4470
46,184.8,25.0,4620
47,187.88,25.0,4697
48,190.12,25.0,4753
49,191.72,25.0,4793
50,194.12,25.0,4853
51,196.36,25.0,4909
52,198.0,25.0,4950
53,201.56,25.0,5039
54,205.72,25.0,5143
55,208.56,25.0,5214
56,212.64,25.0,5316
57,217.36,25.0,5434
58,218.4,25.0,5460
59,221.2,25.0,5530
60,223.2,25.0,5580
61,225.48,25.0,5637
62,228.84,25.0,5721
63,235.2,25.0,5880
64,242.04,25.0,6051
65,248.76,25.0,6219
66,254.32,25.0,6358
67,255.6,25.0,6390
68,260.4,25.0,6509
69,265.2,25.0,6630
70,270.68,25.0,6767
71,273.2,25.0,6830
72,277.2,25.0,6930
73,280.8,25.0,7020
74,284.92,25.0,7123
75,290.4,25.0,7259
76,296.4,25.0,7409
77,300.0,25.0,7500
78,304.8,25.0,7620
79,311.8,25.0,7795
80,315.6,25.0,7890
81,319.2,25.0,7980
82,322.76,25.0,8069
83,327.92,25.0,8198
84,328.8,25.0,8220
85,332.32,25.0,8308
86,334.68,25.0,8367
87,338.44,25.0,8461
88,340.8,25.0,8520
89,343.12,25.0,8578
90,345.68,25.0,8642
91,347.6,25.0,8690
92,351.6,25.0,8790
93,356.4,25.0,8910
94,360.0,25.0,9000
95,366.0,25.0,9150
96,370.8,25.0,9270
97,375.6,25.0,9390
98,382.28,25.0,9557
99,386.84,25.0,9671
100,389.72,25.0,9743
101,392.76,25.0,9819
102,398.56,25.0,9964
103,399.6,25.0,9990
104,404.04,25.0,10101
105,406.92,25.0,10173
106,408.68,25.0,10217
107,412.36,25.0,10309
108,415.92,25.0,10398
109,419.16,25.0,10479
110,426.0,25.0,10650
111,430.8,25.0,10770
112,435.6,25.0,10890
113,442.56,25.0,11064
114,445.56,25.0,11139
115,450.44,25.0,11261
116,454.88,25.0,11372
117,456.0,25.0,11400
118,459.6,25.0,11490
119,465.6,25.0,11640
120,471.6,25.0,11790
121,476.4,25.0,11910
122,479.76,25.0,11994
123,483.6,25.0,12090
124,487.48,25.0,12187
125,493.2,25.0,12330
126,500.2,25.0,12505
127,503.4,25.0,12585
128,507.32,25.0,12683
129,513.4,25.0,12835
130,513.6,25.0,12840
131,519.6,25.0,12990
132,524.72,25.0,13118
133,530.08,25.0,13252
134,530.4,25.0,13260
135,534.0,25.0,13350
136,540.72,25.0,13518
137,545.88,25.0,13647
138,552.72,25.0,13818
139,555.72,25.0,13893
140,560.4,25.0,14010
141,563.48,25.0,14087
142,570.0,25.0,14250
143,575.6,25.0,14390
144,582.0,25.0,14550
145,585.88,25.0,14647
146,586.8,25.0,14669
147,593.76,25.0,14844
148,599.24,25.0,14981
149,606.0,25.0,15150
150,610.8,25.0,15269
151,617.28,25.0,15432
152,618.8,25.0,15469
153,623.04,25.0,15576
154,626.88,25.0,15672
155,630.0,25.0,15750
156,633.68,25.0,15841
157,635.16,25.0,15879
158,636.44,25.0,15911
159,639.04,25.0,15976
160,640.8,25.0,16019
161,645.6,25.0,16140
162,648.36,25.0,16209
163,651.6,25.0,16290
164,655.2,25.0,16380
165,658.52,25.0,16463
166,660.0,25.0,16500
167,667.0,25.0,16675
168,673.2,25.0,16830
169,679.2,25.0,16980
170,686.16,25.0,17154
171,690.0,25.0,17250
172,693.28,25.0,17332
173,697.2,25.0,17430
174,703.2,25.0,17580
175,705.64,25.0,17641
176,706.8,25.0,17670
177,710.72,25.0,17768
178,712.8,25.0,17820
179,718.8,25.0,17970
180,723.96,25.0,18099
181,725.36,25.0,18134
182,729.64,25.0,18241
183,732.0,25.0,18300
184,739.0,25.0,18475
185,742.68,25.0,18567
186,747.6,25.0,18690
187,751.2,25.0,18780
188,758.12,25.0,18953
189,761.8,25.0,19045
190,766.32,25.0,19158
191,766.8,25.0,19170
192,773.04,25.0,19326
193,778.8,25.0,19470
194,782.4,25.0,19560
195,788.4,25.0,19710
196,792.2,25.0,19805
197,795.6,25.0,19890
198,802.6,25.0,20065
199,807.6,25.0,20190
200,813.08,25.0,20327
201,816.08,25.0,20402
202,820.28,25.0,20507
203,824.4,25.0,20610
204,830.8,25.0,20770
205,837.56,25.0,20939
206,844.32,25.0,21108
207,846.2,25.0,21155
208,849.96,25.0,21249
209,854.96,25.0,21374
210,859.36,25.0,21484
211,866.08,25.0,21652
212,869.08,25.0,21727
213,875.92,25.0,21898
214,881.24,25.0,22031
215,882.36,25.0,22059
216,887.52,25.0,22188
217,894.0,25.0,22350
218,900.44,25.0,22511
219,907.28,25.0,22682
220,910.8,25.0,22770
221,914.4,25.0,22860
222,921.4,25.0,23035
223,925.2,25.0,23130
224,930.88,25.0,23272
225,937.52,25.0,23438
226,942.0,25.0,23550
227,946.8,25.0,23670
228,952.8,25.0,23820
229,956.4,25.0,23910
230,962.4,25.0,24060
231,967.2,25.0,24180
232,970.8,25.0,24270
233,974.0,25.0,24350
234,975.6,25.0,24390
235,981.6,25.0,24540
236,988.4,25.0,24710
237,991.4,25.0,24785
238,996.44,25.0,24911
239,1000.0,25.0,25000
240,1003.4,25.0,25085
241,1009.2,25.0,25230
242,1015.6,25.0,25390
243,1022.32,25.0,25558
244,1027.28,25.0,25682
245,1029.32,25.0,25733
246,1033.4,25.0,25835
247,1035.24,25.0,25881
248,1036.52,25.0,25913
249,1041.68,25.0,26042
250,1048.12,25.0,26202
251,1052.4,25.0,26310
252,1055.56,25.0,26389
253,1060.8,25.0,26520
254,1066.84,25.0,26670
255,1070.4,25.0,26760
256,1076.4,25.0,26910
257,1082.4,25.0,27060
258,1086.36,25.0,27158
259,1089.6,25.0,27239
260,1093.16,25.0,27329
261,1100.16,25.0,27504
262,1105.2,25.0,27630
263,1109.2,25.0,27730
264,1114.04,25.0,27851
265,1120.8,25.0,28020
266,1124.4,25.0,28110
267,1129.2,25.0,28230
268,1135.2,25.0,28380
269,1138.72,25.0,28468
270,1141.2,25.0,28530
271,1146.0,25.0,28650
272,1149.16,25.0,28729
273,1154.4,25.0,28860
274,1160.4,25.0,29010
