n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,3.6,25.0,90
3,10.2,25.0,254
4,14.88,25.0,372
5,16.16,25.0,404
6,19.88,25.0,497
7,21.24,25.0,531
8,21.6,25.0,540
9,26.2,25.0,655
10,31.2,25.0,780
11,36.16,25.0,903
12,37.72,25.0,943
13,39.48,25.0,986
14,40.8,25.0,1019
15,46.8,25.0,1170
16,53.76,25.0,1344
17,58.8,25.0,1470
18,65.04,25.0,1626
19,71.92,25.0,1798
20,73.88,25.0,1847
21,78.0,25.0,1950
22,84.0,25.0,2100
23,86.92,25.0,2173
24,90.0,25.0,2250
25,94.8,25.0,2370
26,99.28,25.0,2482
27,103.12,25.0,2578
28,106.24,25.0,2656
29,109.2,25.0,2730
30,112.64,25.0,2816
31,114.52,25.0,2863
32,119.16,25.0,2979
33,121.2,25.0,3030
34,126.4,25.0,3160
35,127.2,25.0,3180
36,134.2,25.0,3354
37,140.4,25.0,3510
38,146.4,25.0,3660
39,153.08,25.0,3827
40,157.2,25.0,3929
41,162.68,25.0,4067
42,166.56,25.0,4164
43,169.2,25.0,4230
44,172.64,25.0,4316
45,174.0,25.0,4350
46,178.32,25.0,4458
47,178.8,25.0,4470
48,181.84,25.0,4546
49,184.2,25.0,4605
50,188.6,25.0,4715
51,193.04,25.0,4826
52,195.6,25.0,4890
53,199.8,25.0,4995
54,200.4,25.0,5010
55,206.4,25.0,5160
56,209.84,25.0,5246
57,215.0,25.0,5375
58,216.24,25.0,5406
59,219.6,25.0,5490
60,226.6,25.0,5665
61,231.6,25.0,5790
62,238.28,25.0,5957
63,242.4,25.0,6060
64,248.4,25.0,6210
65,252.0,25.0,6300
66,256.76,25.0,6419
67,258.0,25.0,6450
68,262.44,25.0,6561
69,269.44,25.0,6736
70,272.48,25.0,6812
71,278.68,25.0,6967
72,283.56,25.0,7089
73,284.4,25.0,7109
74,288.84,25.0,7220
75,290.4,25.0,7259
76,292.6,25.0,7315
77,296.16,25.0,7404
78,296.4,25.0,7409
79,300.0,25.0,7500
80,302.12,25.0,7553
81,305.36,25.0,7634
82,307.84,25.0,7695
83,312.0,25.0,7800
84,318.0,25.0,7950
85,324.92,25.0,8123
86,331.2,25.0,8280
87,334.04,25.0,8351
88,336.32,25.0,8408
89,338.32,25.0,8458
90,340.88,25.0,8522
91,343.2,25.0,8580
