n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,4.32,25.0,108
3,8.68,25.0,217
4,14.92,25.0,373
5,19.4,25.0,484
6,25.8,25.0,645
7,32.2,25.0,805
8,36.56,25.0,914
9,43.2,25.0,1080
10,47.88,25.0,1197
11,50.2,25.0,1255
12,57.04,25.0,1426
13,61.0,25.0,1525
14,68.0,25.0,1700
15,71.0,25.0,1775
16,76.76,25.0,1919
17,79.76,25.0,1994
18,85.72,25.0,2143
19,92.72,25.0,2318
20,96.0,25.0,2400
21,97.0,25.0,2425
22,103.0,25.0,2575
23,104.2,25.0,2605
24,108.44,25.0,2711
25,112.68,25.0,2817
26,119.68,25.0,2992
27,124.0,25.0,3100
28,129.0,25.0,3225
29,134.56,25.0,3364
30,137.4,25.0,3435
31,141.56,25.0,3539
32,145.76,25.0,3644
33,152.76,25.0,3819
34,159.0,25.0,3975
35,165.0,25.0,4125
36,167.08,25.0,4177
37,168.6,25.0,4215
38,169.48,25.0,4237
39,170.76,25.0,4269
40,172.8,25.0,4320
41,174.52,25.0,4363
42,175.88,25.0,4397
43,182.84,25.0,4571
44,186.68,25.0,4667
45,193.68,25.0,4842
46,200.12,25.0,5003
47,207.12,25.0,5178
48,212.88,25.0,5322
49,219.56,25.0,5489
50,224.88,25.0,5622
51,226.2,25.0,5655
52,231.88,25.0,5797
53,236.0,25.0,5900
54,240.32,25.0,6008
55,243.0,25.0,6075
56,250.0,25.0,6250
57,255.56,25.0,6389
58,259.12,25.0,6478
59,261.88,25.0,6547
60,268.88,25.0,6722
61,275.68,25.0,6892
62,282.2,25.0,7055
63,283.08,25.0,7077
64,289.2,25.0,7230
65,292.24,25.0,7306
66,299.24,25.0,7481
67,303.48,25.0,7587
68,307.6,25.0,7690
69,313.72,25.0,7843
70,316.72,25.0,7918
71,321.4,25.0,8034
72,323.68,25.0,8092
73,330.68,25.0,8267
74,335.0,25.0,8375
75,341.28,25.0,8532
76,345.04,25.0,8626
77,347.0,25.0,8675
78,352.08,25.0,8802
79,353.0,25.0,8825
80,357.68,25.0,8942
81,358.04,25.0,8951
82,359.8,25.0,8995
83,361.04,25.0,9026
84,368.0,25.0,9200
85,374.32,25.0,9358
86,381.32,25.0,9533
87,381.44,25.0,9536
