n,pts_time,fps,frame_idx
1,0.0,30.0,0
2,3.0,30.0,90
3,10.0,30.0,300
4,15.4,30.0,462
5,16.2,30.0,486
6,17.5667,30.0,527
7,20.9667,30.0,629
8,22.6667,30.0,680
9,27.6,30.0,828
10,33.5667,30.0,1007
11,39.3333,30.0,1179
12,45.5333,30.0,1365
13,47.3333,30.0,1419
14,48.9333,30.0,1467
15,52.1667,30.0,1565
16,55.1,30.0,1653
17,57.6667,30.0,1730
18,63.1333,30.0,1893
19,70.1333,30.0,2103
20,73.7,30.0,2211
21,76.1333,30.0,2283
22,77.7333,30.0,2331
23,83.3667,30.0,2501
24,88.9667,30.0,2669
25,95.9667,30.0,2879
26,98.9667,30.0,2969
27,103.0,30.0,3090
28,106.0,30.0,3180
29,110.867,30.0,3326
30,112.767,30.0,3383
31,116.767,30.0,3503
32,119.1,30.0,3573
33,122.3,30.0,3669
34,127.1,30.0,3813
35,129.0,30.0,3870
36,131.333,30.0,3939
37,134.567,30.0,4037
38,136.267,30.0,4088
39,138.767,30.0,4163
40,140.967,30.0,4229
41,143.367,30.0,4301
42,150.367,30.0,4511
43,157.367,30.0,4721
44,162.7,30.0,4881
45,167.5,30.0,5025
46,172.967,30.0,5189
47,178.967,30.0,5369
48,181.967,30.0,5459
49,184.133,30.0,5523
50,186.067,30.0,5582
51,188.1,30.0,5643
52,190.4,30.0,5712
53,194.5,30.0,5835
54,196.567,30.0,5897
55,198.367,30.0,5951
56,203.1,30.0,6093
57,205.467,30.0,6164
58,209.367,30.0,6281
59,212.267,30.0,6368
60,214.2,30.0,6426
61,215.933,30.0,6477
62,218.3,30.0,6549
63,220.133,30.0,6603
64,222.133,30.0,6663
65,224.067,30.0,6722
66,231.067,30.0,6932
67,238.067,30.0,7142
68,242.567,30.0,7277
69,248.567,30.0,7457
70,254.333,30.0,7629
71,259.667,30.0,7790
72,264.667,30.0,7940
73,266.567,30.0,7997
74,269.6,30.0,8088
75,272.767,30.0,8183
76,277.267,30.0,8318
77,279.133,30.0,8373
78,280.9,30.0,8427
79,283.567,30.0,8507
80,289.733,30.0,8691
81,294.5,30.0,8835
82,301.5,30.0,9045
83,304.5,30.0,9135
