n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,3.0,25.0,75
3,10.0,25.0,250
4,14.56,25.0,364
5,15.8,25.0,395
6,20.92,25.0,523
7,25.84,25.0,646
8,27.84,25.0,696
9,30.88,25.0,772
10,32.88,25.0,822
11,39.08,25.0,977
12,46.04,25.0,1151
13,51.96,25.0,1299
14,58.68,25.0,1467
15,62.68,25.0,1567
16,67.68,25.0,1692
17,73.76,25.0,1844
18,79.76,25.0,1994
19,85.64,25.0,2141
20,89.64,25.0,2241
21,93.32,25.0,2333
22,96.56,25.0,2414
23,101.56,25.0,2539
24,103.52,25.0,2588
25,110.52,25.0,2763
26,116.52,25.0,2913
27,121.8,25.0,3045
28,128.72,25.0,3218
29,134.92,25.0,3372
30,140.76,25.0,3519
31,141.84,25.0,3546
32,144.08,25.0,3602
33,145.48,25.0,3636
34,146.32,25.0,3658
35,149.56,25.0,3739
36,152.0,25.0,3800
37,155.28,25.0,3882
38,158.0,25.0,3950
39,160.12,25.0,4003
40,161.24,25.0,4031
41,163.84,25.0,4096
42,166.2,25.0,4155
43,167.2,25.0,4180
44,171.44,25.0,4286
45,175.08,25.0,4377
46,176.56,25.0,4414
47,178.84,25.0,4471
48,181.4,25.0,4535
49,183.04,25.0,4576
50,186.16,25.0,4654
51,187.16,25.0,4679
52,193.56,25.0,4839
53,200.36,25.0,5009
54,203.44,25.0,5086
55,208.92,25.0,5223
56,209.64,25.0,5241
57,212.92,25.0,5323
58,214.12,25.0,5353
59,216.04,25.0,5401
60,220.96,25.0,5524
61,221.96,25.0,5549
62,227.12,25.0,5678
63,228.4,25.0,5710
64,233.24,25.0,5831
65,234.04,25.0,5851
66,238.24,25.0,5956
67,240.44,25.0,6011
68,244.0,25.0,6100
69,246.64,25.0,6166
70,248.28,25.0,6207
71,255.24,25.0,6381
72,259.08,25.0,6477
73,262.72,25.0,6568
74,269.72,25.0,6743
75,275.08,25.0,6877
76,280.72,25.0,7018
77,286.6,25.0,7165
78,293.6,25.0,7340
79,300.04,25.0,7501
80,304.28,25.0,7606
81,308.52,25.0,7713
82,310.76,25.0,7769
83,316.76,25.0,7919
84,319.56,25.0,7989
85,322.36,25.0,8059
86,324.44,25.0,8111
87,325.24,25.0,8131
88,327.24,25.0,8181
89,328.6,25.0,8215
90,330.44,25.0,8261
91,333.6,25.0,8340
92,334.6,25.0,8365
93,339.6,25.0,8490
94,341.8,25.0,8545
95,346.36,25.0,8659
96,350.68,25.0,8767
97,352.24,25.0,8806
98,356.24,25.0,8906
99,363.24,25.0,9081
100,366.88,25.0,9172
101,372.88,25.0,9322
102,375.0,25.0,9375
103,376.28,25.0,9407
104,382.04,25.0,9551
105,387.08,25.0,9677
106,392.24,25.0,9806
107,398.52,25.0,9963
108,399.2,25.0,9980
109,405.48,25.0,10137
110,410.28,25.0,10257
111,416.88,25.0,10422
112,419.88,25.0,10497
113,426.88,25.0,10672
114,431.68,25.0,10792
115,438.36,25.0,10959
116,439.68,25.0,10992
117,441.44,25.0,11036
118,448.36,25.0,11209
119,453.04,25.0,11326
120,458.64,25.0,11466
121,465.64,25.0,11641
122,470.64,25.0,11766
123,474.32,25.0,11858
124,479.8,25.0,11995
125,483.6,25.0,12090
126,484.6,25.0,12115
127,488.52,25.0,12213
128,492.48,25.0,12312
129,494.68,25.0,12367
130,500.72,25.0,12518
131,501.72,25.0,12543
132,506.6,25.0,12665
133,509.6,25.0,12740
134,516.6,25.0,12915
135,523.6,25.0,13090
136,527.8,25.0,13194
137,531.8,25.0,13294
138,538.8,25.0,13469
139,544.8,25.0,13619
140,547.8,25.0,13694
141,553.88,25.0,13847
142,560.8,25.0,14019
143,564.12,25.0,14103
144,570.04,25.0,14251
145,576.6,25.0,14415
146,580.88,25.0,14522
147,586.4,25.0,14660
148,587.4,25.0,14685
149,594.4,25.0,14860
150,598.72,25.0,14968
151,605.2,25.0,15130
152,610.24,25.0,15256
153,615.04,25.0,15376
154,617.08,25.0,15427
155,623.96,25.0,15599
156,629.0,25.0,15725
157,632.4,25.0,15810
158,639.24,25.0,15981
159,644.04,25.0,16101
160,645.84,25.0,16146
161,651.8,25.0,16294
162,652.96,25.0,16324
163,654.96,25.0,16374
164,658.68,25.0,16467
165,660.16,25.0,16504
166,661.16,25.0,16529
167,664.24,25.0,16606
168,670.64,25.0,16766
169,677.64,25.0,16941
170,681.64,25.0,17041
171,688.6,25.0,17215
172,695.52,25.0,17388
173,701.84,25.0,17546
174,705.88,25.0,17647
175,712.48,25.0,17812
176,715.48,25.0,17887
177,719.24,25.0,17981
178,721.2,25.0,18030
179,725.32,25.0,18133
180,730.2,25.0,18255
181,733.52,25.0,18338
182,735.84,25.0,18396
183,742.16,25.0,18554
184,746.08,25.0,18652
185,749.88,25.0,18747
186,753.4,25.0,18835
187,760.4,25.0,19010
188,766.76,25.0,19169
189,771.12,25.0,19278
190,775.04,25.0,19376
191,776.84,25.0,19421
192,779.56,25.0,19489
193,781.8,25.0,19545
194,787.12,25.0,19678
195,794.0,25.0,19850
196,798.96,25.0,19974
197,799.96,25.0,19999
198,802.96,25.0,20074
199,808.04,25.0,20201
200,812.96,25.0,20324
201,816.76,25.0,20419
202,819.4,25.0,20485
203,823.56,25.0,20589
204,830.56,25.0,20764
205,836.84,25.0,20921
206,841.12,25.0,21028
