n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,3.6,25.0,90
3,10.6,25.0,265
4,17.56,25.0,438
5,18.88,25.0,472
6,21.6,25.0,540
7,25.6,25.0,640
8,27.6,25.0,690
9,31.2,25.0,780
10,35.8,25.0,894
11,42.8,25.0,1070
12,46.0,25.0,1150
13,46.72,25.0,1168
14,52.12,25.0,1303
15,55.88,25.0,1397
16,56.4,25.0,1410
17,57.8,25.0,1445
18,62.32,25.0,1558
19,66.0,25.0,1650
20,69.6,25.0,1739
21,71.0,25.0,1775
22,74.32,25.0,1857
23,76.88,25.0,1922
24,80.84,25.0,2021
25,82.32,25.0,2058
26,83.72,25.0,2093
27,84.0,25.0,2100
28,85.68,25.0,2142
29,87.16,25.0,2179
30,89.96,25.0,2249
31,90.76,25.0,2269
32,93.24,25.0,2331
33,95.32,25.0,2383
34,97.2,25.0,2430
35,100.96,25.0,2524
36,103.4,25.0,2585
37,108.0,25.0,2700
38,113.48,25.0,2837
39,117.6,25.0,2940
40,122.4,25.0,3060
41,127.2,25.0,3180
42,130.8,25.0,3270
43,131.6,25.0,3290
44,135.6,25.0,3390
45,140.4,25.0,3510
46,144.88,25.0,3622
47,151.6,25.0,3790
48,154.32,25.0,3858
49,157.2,25.0,3929
50,162.76,25.0,4069
51,165.68,25.0,4142
52,168.32,25.0,4208
53,169.2,25.0,4230
54,174.0,25.0,4350
55,178.8,25.0,4470
56,183.0,25.0,4575
57,186.0,25.0,4650
58,189.6,25.0,4740
59,194.4,25.0,4860
60,201.4,25.0,5035
61,207.2,25.0,5180
62,214.2,25.0,5355
63,217.32,25.0,5433
64,222.64,25.0,5566
65,223.2,25.0,5580
66,225.88,25.0,5647
67,228.0,25.0,5700
68,235.0,25.0,5875
69,240.12,25.0,6003
70,241.44,25.0,6036
71,242.92,25.0,6073
72,244.8,25.0,6120
73,250.2,25.0,6255
74,253.2,25.0,6330
75,259.6,25.0,6490
76,266.4,25.0,6659
77,268.88,25.0,6722
78,272.4,25.0,6809
79,277.92,25.0,6948
80,279.56,25.0,6989
81,282.0,25.0,7050
82,286.12,25.0,7153
83,288.88,25.0,7222
84,291.04,25.0,7276
85,294.0,25.0,7350
86,295.6,25.0,7390
87,298.8,25.0,7470
88,303.6,25.0,7590
89,307.72,25.0,7693
90,309.6,25.0,7740
91,313.0,25.0,7825
