frame,caption
001.jpg,A beautiful sunset over a city. The sky is orange and pink. There are a couple of giant letters that spell out the name of the city. There is a large body of water in front of the buildings.
002.jpg,"A man and a woman are sitting at a desk in front of a large screen. They are both dressed in business attire. The man is wearing a white shirt and tie, while the woman is dressed in a white and black dress. The desk is white and has a red logo on it. There is a large red and yellow screen behind them."
003.jpg,A man and a woman are standing in front of a news desk. The desk is white and has red writing on it. There is a large screen behind them. There are buildings on the screen. 
004.jpg,"The image is completely black. On the right side of the image there is a red and white graphic. The graphic has small white dots on it. At the top of the graphic there is white text that reads ""HTV7 HD 18:30:08""."
005.jpg,There are two people sitting in a small boat on the water. There are trees on the other side of the boat. The water is calm and has small ripples in it. 
006.jpg,A picture of a large body of water. There are waves in the water on the right side of the picture. There is green trees in the background of the photo. The photo has a red border around it.
007.jpg,There are several people standing in a line. They are all wearing green shirts and black pants. There are trees behind them in the distance. There is a man in a plaid shirt standing in front of them.
008.jpg,The image is a swimming pool. It is dark outside and the water is reflecting the lights. There is a red and white sign on the edge of the pool.
009.jpg,Two men are standing on a sidewalk next to parked motorcycles. One of the men is wearing a white shirt and gray pants. He is holding a phone to his ear. The other man is wearing black pants and a red and white hat. There is a red sign behind the men. The street is next to the motorcycles. 
010.jpg,A man is standing in front of several motorcycles. He is wearing a white shirt and has a bag on his back. The motorcycles are parked on the side of the street. There is a red sign behind the man. 
011.jpg,The image is a graphic design. The background is red and white. There are dots on the red background. There is a diagonal white and black striped background. In the center of the image there is a large red and silver number 6. The number 6 is bold and stands out against the white background. 
012.jpg,A man and a woman are standing in front of a news desk. The desk is white and has a red logo on it. The man is wearing a white shirt and tie and glasses. The woman is also wearing a silver dress. There is a large screen behind them. There are buildings on the screen. 
013.jpg,A man and a woman are standing behind a white table. They are both dressed in business attire. The man is wearing a white collared shirt with a black tie and black pants. The woman is dressed in a black and white dress with black pants and black heels. They both have short dark hair. Behind them is a large screen with a city scene on it.
014.jpg,A man and a woman are standing behind a white desk. They are both holding red objects in their hands. The man is wearing a blue shirt and a tie. The woman is also wearing a silver dress. There is a large picture of a city behind them. The sky is orange and pink. 
015.jpg,"A man and a woman are standing behind a white desk. They are both holding red folders in their hands. The man is wearing a blue shirt and tie, and glasses. The woman has a short sleeve shirt and black pants. She has long dark hair. There is a large screen behind them. There are many tall buildings on the screen."
016.jpg,There is a man and a woman standing in front of a white table. The man is wearing a white shirt and a tie. He is holding a red object in his hands. The woman is wearing an off white dress. There is a large city behind them. There are trees on top of the buildings. 
017.jpg,Two men are wearing orange vests and hard hats. They are standing in front of a white sign. There are rocks and debris on the ground around them. 
018.jpg,A picture of a large body of water. There is a small wave coming out of the water on the right. There are trees in the distance behind the water. 
019.jpg,There are two people standing in front of a red sign. They are wearing orange vests and black pants. There are trees behind them. 
020.jpg,A picture of a muddy area. There is a large tree next to the dirt. There are rocks in the dirt on the ground. There a long gray pole in front of the picture. 
021.jpg,People are walking down a flooded street. They are all wearing raincoats and hats. There is a large tree on the side of the street. A building can be seen behind the tree. 
022.jpg,The image is of a room that has been flooded. The floor is completely submerged in the water. The walls are white and there are white pillars in the room. The room has blue bars in the front of it. There is a barcode on the bottom left corner of the image. The barcode is white with black text. The bars of the bars are blue.
023.jpg,Three people are sitting in the middle of a flooded street. They are wearing orange vests and helmets. A dog is sitting between them. There are trees behind them. 
024.jpg,A group of people are sitting in the middle of a flooded street. They are wearing life jackets. There is a man in a red vest standing in front of them. There are trees surrounding the street. 
025.jpg,A bunch of people are standing outside on a rainy day. They are all holding umbrellas. A fire truck is parked on the side of the road. It is red and white in color. The road is wet and has yellow lines painted on it. Tall green trees are standing on both sides of the street. Power lines are running across the sky.
026.jpg,There are several people walking in the street. There are trees behind them in front of a building. There is a man in a blue jacket walking next to them.
027.jpg,There are several men in uniform standing in front of a building. They are all wearing white hard hats on their heads. There is a red van behind them. 
028.jpg,"The image is a forest scene. There are tall trees on both sides of the image. The trees are green and thick. There is a small stream of water in the middle of the trees. The water appears to be muddy. The ground around the stream is light brown. The sky is blue and there are a lot of clouds in the sky. The image has a watermark in the top right corner that says ""HTV7 HD 18:31:44""."
029.jpg,There is a wooden fence in front of a building. There is a large tree behind the fence. The sky above the building is white. 
030.jpg,A group of people are standing outside on a rainy day. Some of the people are holding umbrellas. They are standing next to a large body of water. There are trees surrounding the water. The sky above them is gray and cloudy.
031.jpg,There are several boats in the water. There is a person standing in front of one of the boats. The person is wearing a blue jacket. 
032.jpg,There is a large blue and red boat in the water. There is a person standing on the boat wearing a blue jacket and a red hat. There are windows on the side of the boat. 
033.jpg,There are two boats in the water. There are lights on the boats. The water is dark. The boats are red and white. There is a light on the boat. The light is shining bright. The sky is black. The lights are blue and red. The letters on the top right of the image are red.
034.jpg,There is a large white boat in the water. There are lights on the top of the boat. The sky is black. There is a red and white sign on the bottom of the screen.
035.jpg,There are several people standing in front of a rope. They are wearing white hard hats on their heads. There is a black shirt on the person with a white hat on. 
036.jpg,A picture of a person holding a microphone. The microphone is white. There is a green light in the background. There are white lights on the ceiling. The picture is very blurry. The person holding the microphone is wearing a white shirt. There white texts on the bottom of the picture. The time on the picture is 18:32.17.
037.jpg,There are five men standing around each other. They are wearing blue jackets. There is a man in an orange jumpsuit standing next to them. There are white ropes around them. 
038.jpg,There is a white building in the distance. There are lights on the building. The sky is black. There is a red light in the sky. 
039.jpg,A red kite is flying in the air. There is a green building next to the kite. There are wires above the building. 
040.jpg,"A man and a woman are standing in front of a white table. They are both holding red objects in their hands. The man is wearing a blue shirt and tie, and glasses. The woman has long black hair and a white and silver dress. There is a large cityscape behind them. The sky above them is orange and pink."
041.jpg,A man and a woman are standing in front of a white desk. They are both holding red objects in their hands. The man is wearing a blue shirt and a tie. The woman has a silver dress on. There is a large cityscape behind them. The sky is red and orange. 
042.jpg,A man and a woman are standing in front of a white desk. They are both holding red objects in their hands. The man is wearing a white shirt and a tie. The woman is also wearing a silver dress. There is a large cityscape behind them. The sky is orange and pink. There are tall buildings in the distance. 
043.jpg,A man and a woman are standing in front of a white desk. They are both holding red objects in their hands. The man is wearing a white shirt and a black tie. The woman has a white and silver dress on. There is a large cityscape behind them. The sky is red and orange. 
044.jpg,"A man and a woman are standing in front of a white desk. They are both holding red devices in their hands. The man is wearing a blue shirt and tie, and glasses. The woman has long black hair and a white and silver dress on. There is a large screen behind them that shows a city with tall buildings and a red sky."
045.jpg,A man in a white shirt and tie is walking down the street. There is a large white building behind him. There are pink flowers on the sidewalk in front of the building. 
046.jpg,"The image is a screenshot of a video in Vietnamese. The background of the video is maroon in color. In the center of the image there is a large maroon rectangle with white text on it. The text reads ""Cac Doan Duong Bi Cam"" in white letters. At the top right corner of the screen there is the logo for HTV7.com."
047.jpg,There is a large red sign in front of a white car. There are trees behind the sign. There is a building behind the trees. 
048.jpg,"An aerial view of a city is shown. In the center of the image there is a large maroon banner with white text on it. The text on the banner reads ""Cac Doan Duong Bi Cam""."
049.jpg,An aerial view of a city is shown. There are several buildings surrounding the streets. There is a large circular building in the middle of the street. There several trees surrounding the building.
050.jpg,This is an aerial view of a city. There are many tall buildings surrounding the streets. There is a large parking lot in the middle of the buildings. The parking lot has several cars parked in it. 
051.jpg,This is an image of a city. The sky is very cloudy. The clouds are white and fluffy. There is a tall blue building in the background. The building has many windows on it. There are tall green trees in front of the building. The trees are healthy and green. The road is light gray. The car is dark blue. The cars are parked on the side of the road.
052.jpg,A woman is standing on a stage in front of a large screen. She is wearing a short black skirt and a silver top. The woman is holding a red purse in her hand. There is a large picture on the wall behind the woman. 
053.jpg,A woman is standing on a news set. She is wearing a short sleeve shirt and a black skirt. There is a large screen on the wall behind her. There are buildings on the screen. 
054.jpg,There are several women standing on the street. They are holding white round objects in their hands. There are trees behind them on the sidewalk. There is a large white building behind them. 
055.jpg,There are several women wearing green jackets. They are holding white hats in their hands. There is a red banner in front of them with white writing on it.
056.jpg,There are several women in green shirts and black pants marching down a street. They are holding large white drums in their hands. There are trees lining the street behind them. 
057.jpg,There are several women standing in a line. They are all wearing red shirts and black pants. There are large trees behind them. The women are holding white balls in their hands. 
058.jpg,There are several people standing in a line. They are all wearing white hats. There are trees behind them in front of them. 
059.jpg,There are several people standing on a stage. They are wearing green shirts and black pants. There is a large screen behind them. There are trees behind the stage.
060.jpg,There are several people standing in a line. They are all wearing white hats. There is a blue sign behind them. There are trees behind the sign. 
061.jpg,A woman is wearing a green shirt and a black and white scarf around her neck. She has long black hair and is wearing glasses. She is smiling and looking at the camera. Behind her are several other women wearing green shirts and black pants. They are holding white round objects in their hands. There are trees behind them. 
062.jpg,There are several women standing in a line. They are all wearing white shirts. There is a red and white flag behind them. There are trees behind the people.
063.jpg,There are several people standing in a line on the street. There are large trees behind them. There is a blue and white sign in front of them. 
064.jpg,There are several people standing in a line. They are all wearing hats on their head. There are trees behind them. There is a white building behind the people. 
065.jpg,A man is wearing a white shirt and a black tie. He is wearing glasses and has short black hair. There is a city behind the man with tall buildings. 
066.jpg,A man is wearing a white shirt and a black tie. He is wearing glasses and has short black hair. There are tall buildings behind the man. There is a red sky above the buildings.
067.jpg,There is a large stone building in front of a crowd of people. There are several flags hanging from the building. There is a tall tower behind the building in the distance. 
068.jpg,"An elderly man is standing outside. He is wearing a white turban on his head, a white shirt and a yellow scarf around his neck. The man is holding a red cloth in his hand. There is a large red and yellow umbrella behind the man. Large green trees can be seen behind the umbrella. The sky is white above the trees."
069.jpg,There are people standing in a line on the street. There are trees behind them. They are all wearing colorful dresses. There is a man in a red shirt and white pants standing in front of them.
070.jpg,There are several people standing in a line. They are all wearing white shirts and white hats. They have baskets on their heads. There is a small yellow building behind them. 
071.jpg,A temple is in the middle of a field. There are people standing around it. There is a large tree next to the temple. 
072.jpg,There are several people standing in front of a small structure. There are yellow and red flags hanging from the top of the structure. The people are all wearing yellow shirts. 
073.jpg,There are several people sitting around a table. There are many fruits and vegetables on top of the table. They are wearing white robes and hats on their heads. 
074.jpg,There are people standing on a red carpet. There are trees behind them. There is a woman in a yellow dress standing in front of a man in a white outfit. There appears to be drums on stands next to them.
075.jpg,There are several people standing in front of a tree. There is a man in a white shirt sitting on a white bench. There are two women standing in the front of the photo. One of the women is wearing a pink dress and a white shawl over her shoulders. 
076.jpg,There is a woman sitting at a table. There is a silver pot on the table in front of her. There are other people standing around the table. 
