frame,caption
001.jpg,A beautiful sunset over a city. The sky is orange and pink. There are a couple of giant letters that spell out the name of the city. There is a large body of water in front of the buildings.
002.jpg,A man and a woman are standing in front of a news desk. The desk is white and has a red and white sign on it. The man is wearing a blue shirt and a red tie. He is holding a brown book in his hands. The woman is standing behind him wearing a white and black shirt. There is a large screen behind them.
003.jpg,A man and a woman are standing in front of a news desk. The desk is white and has a red logo on it. The man is wearing a blue shirt and a red tie. The woman is sitting behind the desk. There is a large screen behind them. There are buildings on the screen. 
004.jpg,"The image is a graphic. The background is red and white. There are dots on the left side of the image. There is a gray symbol in the middle. The symbol has a light shining on it. The gray symbol has black letters on the bottom. The letters are outlined in black. The image has a watermark in the top right corner that reads ""HTV9 HD 06:30:36""."
005.jpg,A conference room is filled with people sitting at tables. There are two large chandeliers hanging from the ceiling. There is a large screen on the wall in front of the people. 
006.jpg,"This is an aerial view of a port. There is a large cargo ship docked at the port. The ship has many containers on it. The containers are red, green, and blue. The dock is made of metal. The water is blue and calm. The sky is blue with white clouds."
007.jpg,There are several people sitting at desks. There are two computer screens in front of them on the desk. There is a large brown pillar behind them. 
008.jpg,"The image is a screenshot from a video. It shows a page from a book. The page is white with black text. There is a red border around the page. At the top of the page there is a small logo that says ""TIN CHINH"". At the bottom of the image there is the logo for 16 giay."
009.jpg,People are walking on a sidewalk. There are trees lining the sidewalk. The trees have yellow leaves on them. Some of the people are wearing coats. 
010.jpg,There are several men playing soccer on a field. There is a large crowd sitting in the stands behind a fence. There are colorful signs on the fence. 
011.jpg,"The image is a graphic design. The background is red and white. There are dots on the red background. There is a diagonal white and black striped pattern. In the center of the image there is a large red number 6. The number 6 is outlined in silver. The word ""giay"" is written in a smaller font below the number 6 in red."
012.jpg,A man and a woman are standing in front of a news desk. The desk is white and has a red logo on it. The man is wearing a blue shirt and a red tie. He is holding a phone in his hands. The woman is wearing an floral shirt. There is a large screen behind them. There are buildings on the screen.
013.jpg,There is a man and a woman standing in front of a white table. The man is wearing a blue shirt and a red tie. He is holding a red object in his hands. The woman is standing next to him wearing a white and brown shirt. There are tall buildings behind them. There is a cloudy sky above them.
014.jpg,There is a man and a woman standing in front of a white table. The man is wearing a blue shirt and a red tie. The woman is also wearing a white and brown shirt. There are tall buildings behind them. There is a cloudy sky above them.
015.jpg,There are people sitting in chairs in a room. There is a large screen on the wall in front of them. There are two large chandeliers hanging from the ceiling.
016.jpg,There are several men sitting at a table. They are wearing suits and ties. There is a man with headphones on his head sitting in front of them. There are water bottles on the table. 
017.jpg,This is an aerial view of a city. There is a long bridge crossing over the street. There are several cars on the street below the bridge. There trees and grass surrounding the street and buildings. 
018.jpg,This is an aerial view of a city. There is a large bridge spanning several lanes of traffic. There are several trucks and cars on the bridge. Tall green trees line the sides of the roads. Numerous buildings can be seen in the background. The sky above the city is white.
019.jpg,There is a large white truck driving on the street. There is a red bus behind the truck. There are houses on the side of the street next to the bus. 
020.jpg,This is an aerial view of a port. The port has a large ship docked. The ship has many containers on it. The containers are multicolored. The dock is made of metal. The water is blue and calm. The sky is blue with white clouds.
021.jpg,"A large cargo ship is docked at a port. The ship is white and has multiple stacks of colorful shipping containers. The containers are red, blue, green, white, and purple. The water is murky and the sky is cloudy."
022.jpg,This is an image of a warehouse. The warehouse has rows of red seats. The seats are empty. There are people standing in the room. The people are wearing red shirts. The man in the red shirt is standing in front of a large open door. The door is black. There is a bar code on the image. The bar code is white.
023.jpg,Many containers are stacked on top of each other. There are trucks in front of the containers. There is a red truck next to them. 
024.jpg,"This is an aerial view of an industrial area. The area is filled with trucks. The trucks are red, white, and green. There are people walking around the area. There is a barcode on the bottom left corner of the image."
025.jpg,A white truck is parked in front of a blue building. There is a large white container on top of the building. 
026.jpg,This is an image of a port. The port has large cranes in it. The cranes are orange in color. There is a large ship in the background. The sky above the cranes is white. The ground in the port is gray. There are people standing in the middle of the picture. The man in the picture is wearing a red shirt and black pants.
027.jpg,A large red container is being lifted by a crane. The crane is yellow and has a hook on it. There is a large white building under the crane. 
028.jpg,This is an image of a crane. The crane is blue and black in color. There is a large orange crane behind the blue crane. There are large black tires on the crane. 
029.jpg,There are several trucks parked in front of a building. There is a large orange truck next to a blue truck. There are trees behind the building. 
030.jpg,"Many containers are stacked on top of each other. The containers are multicolored. Some of the containers are red, some are blue and some are green. There are some yellow cranes in the background. There is water behind the containers. The sky is cloudy."
031.jpg,This is an aerial view of a city. There are tall buildings in the background. There is a road running through the center of the photo. The road has multiple lanes of traffic on it. 
032.jpg,A woman is standing in front of a city skyline. She is wearing a white shirt with brown flowers on it. The woman has long black hair and is holding a red object in her hands. The sky behind the woman is orange and yellow. There are tall buildings in the background of the woman.
033.jpg,A woman is standing in front of a city skyline. She is wearing a white shirt with brown flowers on it. The woman has long black hair and is holding a red wallet in her hands. The sky behind the woman is orange and yellow. There are tall buildings in front the woman. 
034.jpg,This is an aerial view of an empty runway. The runway is surrounded by barren land. The sky above the runway is hazy and white. There is a small truck driving down the runway.
035.jpg,There are people walking on a snow covered ground. There is a person bending down in front of them. There are trees in the distance behind them. 
036.jpg,There are two people standing in the snow. One of the people is wearing a green jacket and a large hat. The other person is crouched down wearing a pink coat and a white hat. 
037.jpg,There are signs on the side of the road. The signs are yellow and red. There is a fence behind the signs. There are trees behind the fence. 
038.jpg,"The image is of an airport named ""Cang Hang Khong Dien Bien"". The building is white and has blue writing on the top of the building. There is a tall antenna on the left side of the image. The sky is clear and blue."
039.jpg,There is a black sign with yellow writing on it. There is a man standing in front of a building behind the sign. There are large windows on the building.
040.jpg,There are rows of blue chairs in a room. There is a large window on the wall behind the chairs. There are lights hanging from the ceiling in front of them. 
041.jpg,There are bright lights shining in the dark. There is a bright white light in the middle of the picture. There are stars surrounding the bright lights.
042.jpg,A man and a woman are standing in front of a large cityscape. The man is wearing a blue shirt and a red tie. The woman is also wearing a white blouse with flowers on it. They are both holding red purses in their hands. The sky above them is blue with white clouds. There are tall buildings in the background of the city.
043.jpg,There is a man and a woman standing in front of a white table. The man is wearing a blue shirt and a red tie. He is holding a red wallet in his hands. The woman is standing next to him wearing a white and brown dress. There are tall buildings behind them. There is a cloudy sky above them.
044.jpg,There is a man and a woman standing in front of a white table. The man is wearing a blue shirt and a red tie. He is holding a red object in his hands. The woman is standing next to him wearing a white blouse with flowers on it. There are tall buildings behind them. There is a cloudy sky above them.
045.jpg,There is a man and a woman standing in front of a white table. The man is wearing a blue shirt and a red tie. The woman is wearing an orange and white shirt. There are tall buildings behind them. There is a cloudy sky above them.
046.jpg,There are four people sitting at a desk. There are three computer monitors on the desk in front of them. There is a man in a suit standing behind them. 
047.jpg,A hand is pointing at a computer screen. There is a white paper on the screen with a picture on it. There are words on the bottom of the screen. 
048.jpg,A person is holding a phone in their hand. They are wearing a black shirt and a silver ring on their finger. There is a red and white sticker on the person's hand. 
049.jpg,Three people are sitting at a desk. There is a man standing in front of them with his arms crossed. There are several computer monitors on the desk. 
050.jpg,"A page of a book is open to a page that says ""dulich viet"" on the top left corner. The page is white and the words are written in a foreign language. There is a pink logo at the top of the page. The time is 06:33:56 and there is a watermark in the top right corner that reads ""HTTV9 HD""."
051.jpg,Someone is holding a piece of paper in their hands. The paper is white and has writing on it. There is a pink logo on the top left corner of the paper. The person is holding the paper with both hands.
052.jpg,There are people sitting around a table. There is a woman in a pink shirt standing in front of the table. 
053.jpg,There is a woman wearing a pink shirt. She has black glasses on. There is a wooden wall behind the woman. The woman has her hair pulled back. 
054.jpg,There is a large white building with a clock on the front of it. There are people standing in front of the building. There is a group of people dancing on the street. They are holding red umbrellas. 
055.jpg,There are several people dancing on a stage. They are wearing black and red outfits. There are people standing in front of them watching them. There is a large building behind them. 
056.jpg,There is a large white building with a clock on the front of it. There are people standing in front of the building. There is a group of people dancing on the street in front. 
057.jpg,A man is standing in front of a large green plant. He is wearing a white collared shirt. The man has short black hair. There is a white building behind the man. 
058.jpg,Two people are dancing on the street. They are holding a red umbrella. There are drums behind them. There is a building behind them with people sitting on the steps. 
059.jpg,A man is standing in front of a large green plant. He is wearing a blue collared shirt. The man has short black hair. There is a white wall behind the man. 
060.jpg,A computer screen is turned on. There is a picture of a tower on the screen. There are words on the top of the screen that are black. 
061.jpg,A woman is sitting in front of a computer monitor. The computer monitor is turned on. The woman has long black hair and is wearing sunglasses. There is a plant next to the monitor. 
062.jpg,A man is standing in front of a city skyline. He is wearing a blue shirt and a red tie. He has glasses on and is holding a tablet in his hands. The sky behind him is orange and yellow. There are several tall buildings in the skyline.
063.jpg,A man is wearing a blue shirt and a red tie. He is wearing glasses and has short black hair. There are tall buildings behind him. There is clouds in the sky above him.
064.jpg,There are two men standing in a room. One of the men is wearing a red and white backpack. There is a window behind them. 
065.jpg,There is a man in a red and black shirt. There is another man in front of him with no shirt on. They are standing in a room. 
066.jpg,A picture of a person wearing a green camouflage shirt. The shirt has a red collar on it. There is a white light shining on the shirt. 
