frame,caption
001.jpg,A beautiful sunset over a city. The sky is orange and pink. There are many buildings in the city. There is a large body of water in front of the buildings. 
002.jpg,A man and a woman are standing behind a white table. The man is wearing a white shirt and a red tie. There is a large screen behind them. 
003.jpg,A man and a woman are standing behind a news desk. The desk is white and has red writing on it. There is a large screen behind them. There are buildings on the screen. 
004.jpg,The image is a graphic. The background is red and white. There are dots on the left side of the image. There is a big red and silver symbol in the middle. The symbol has a light shining on it. The light is reflecting on the silver symbol. The letters are black. The time is 06:29:15 on the top right corner.
005.jpg,There are four kids sitting at desks. There is a woman standing in front of them writing on a piece of paper. There are colorful decorations hanging on the wall above the children. 
006.jpg,A man and a woman are sitting in the cockpit of an airplane. The man is wearing a black suit and has his hand on the control panel. The woman is sitting in a white uniform with yellow and black stripes on her shoulders. The control panel has several screens on it. There is a large screen behind the man and woman.
007.jpg,There are two motorcycles on the street. There is a red and white striped barrier behind the motorcycles. There are white pieces of paper on the ground in front of the motorcycle.
008.jpg,There are two motorcycles on the street. There is a red and white striped wall behind them. There are bars on the wall behind the motorcycles. 
009.jpg,"The image is red and white. There are dots on the red background. The dots are small and small. The lines are thin and red. The background is white as well. There is a watermark in the top right corner that says ""HTV HD 06:29:37""."
010.jpg,"The image is a graphic design. The background is red and white. The design is made up of dots. The dots are arranged in a diagonal pattern. There is a large red logo in the middle. The logo has the word ""giay"" written in a bold font. The letters are also red. The overall design is very modern and eye-catching."
011.jpg,A man and a woman are standing behind a white table. They are wearing a white shirt and a red tie. There is a large screen behind them. 
012.jpg,A woman is standing in front of a screen. She is wearing a white dress with brown flowers on it. She has long dark hair and is holding a red purse in her hands. There is a picture of an older man on the screen next to her. 
013.jpg,A woman in a white dress with brown flowers on it is standing in front of a screen. She is holding a red box in her hands. There is a picture of an older woman and a young boy next to her on the screen. 
014.jpg,A woman is wearing a white dress with brown flowers on it. She is holding a red purse in her hand. There is a man behind her writing on a blackboard. 
015.jpg,A woman is wearing a white dress with brown flowers on it. She is holding a red purse in her hand. There is a blackboard behind her. There are desks in front of the chalkboard. 
016.jpg,A woman is wearing a white dress with brown flowers on it. She is holding a red purse in her hand. There is a picture next to the woman with a white shirt on. 
